property_name,additional_info,address,area,city,hotel_category,hotel_facilities,hotel_star_rating,province,review_count_by_category,room_count,room_facilities,room_type,site_review_rating,state
Cafe Blue,,"Palolem Beach, Canacona,South Goa",Palolem Beach Area,Goa,regular,"Airport Transfer Available / Surcharge|Bar / Lounge |Doctor on Call|Laundry Service Available|Pick Up and Drop (Rly Station, Bus Stand, Temple)| Bike on Rent|Extra Person / Child - Share the same room",3,Goa,positive reviews::4|critical reviews::0|reviews with images::0,10,Air Conditioning |Ceiling Fan|Wardrobe|Attached Bathroom,DELUXE AC NON SEA VIEW BEACH HUT,4.8,Goa
Bhavani Villa,Room Service|Internet Access,"BHAVANI VILLA DANTA, BHAVANGADH, DIST. BANASKANTHA, GUJARAT - 385120 INDIA",Bhavangadh,Palanpur,regular,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Luggage Storage|Medical Assistance Available|Wake-up Call / Service|Room Service|First-Aid Kit at Front Desk,0,Palanpur,,5,Room Service |Air Conditioning |Balcony / Terrace|Bathrobe (on request) |Basic Bathroom Amenities|Hairdryer (on request)|Telephone|Shower Facility Available|Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Wardrobe|TV|Mirror|Luggage Rack|Attached Bathroom|Do-Not-Disturb Notice|Dustbins|Sanitary Bin|Sufficient Lighting|Western Toilet Seat,Deluxe AC Room,,Gujarat
Bolgatty Island Resort (KTDC),Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,"Mulavukadu,Kochin",Others,Ernakulam,regular,"Swimming Pool|Airport Transfer Available / Surcharge|Banquet Facilities|Barbecue Area|Concierge|Doctor on Call|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Multi Cuisine Restaurant |Spa On Site - Chargeable|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |Fax Machine|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Extra Person / Child - Share the same room|Car Rental|Taxi Services|Food Facility|Newspapers In Lobby|Room Service (24 Hours)|Air / Rail Booking|RO Water Purification System|Outdoor Parking - Secured|Parking Facility",3,Ernakulam,positive reviews::26|critical reviews::4|reviews with images::9,51,Room Service |Air Conditioning |Alarm Clock|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Tea Coffee Kettle / Maker|Mini bar - On Charge |Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Toiletries|Makeup / Shaving Mirror|Premium Amenities / Toiletries|HD / LCD Satellite TV |Split A.C's|TV|Mirror|Luggage Rack|Attached Bathroom,Deluxe Room,4,Kerala
Brook Streak Resort,Room Service|Restaurant|Free Internet,"6 - Number Road,Mele Arrapetta, Meppadi, Wayanad",Meppadi,Wayanad,regular,Currency Exchange|Doctor on Call|Laundry Service Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Power Backup|Transfers Available|Internet Access Free|Room Service (24 Hours)|Room Service|Porter Services Available|Public Restrooms,3,Wayanad,positive reviews::3|critical reviews::0|reviews with images::2,2,,Wooden Cottage,5,Kerala
Chitravana Resorts,Swimming Pool|Room Service,"#39, Manandawady Road (H.D.Kote Road) Kalawadi Gate",Others,Mysore,regular,Swimming Pool|Bar / Lounge |Doctor on Call|Parking Facilities Available|Front Desk|Power Backup|Gardens|Conference Facility |Kids Play Zone,2,Mysore,positive reviews::1|critical reviews::0|reviews with images::0,29,"Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Telephone| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Wardrobe|TV",Standard AC Room,5,Karnataka
Casa Menezes,Room Service|Internet Access|Gym/Spa|Free Internet,"304, Gaunkar Waddo Batim.  PO Goa Velha, Tiswadi Goa.",Panjim Area,Goa,regular,Airport Transfer Available / Surcharge|Barbecue Area|Doctor on Call|Games Zone|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Pets Allowed|Locker Facility|Power Backup|Gardens|Fitness Equipment|Kitchen available (home cook food on request)| Bike on Rent|Vegetarian Food / Jain Food Available|Food Facility|Internet Access Free|Newspapers In Lobby|Guide / Sightseeing Service|Outdoor Parking - Secured|Outdoor Parking - Non Secured|Room Service|Recreation Zone,0,Goa,,6,"Air Conditioning |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Ensuite / Private Bathroom|Mini bar - On Charge |Internet Connection In Room| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Safe - In - Room |HD / LCD Satellite TV",Heritage Deluxe Varandha Suite,,Goa
Butith Guest Houe,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,"Village and P.O. Kaza, Tehsil Kaza (Spiti), Distt. Lahaul and  Spiti.",New Kaza,Kaza,regular,Business Center |Concierge|Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Games Zone|Gift Shop |Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Library|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Pets Allowed|Private / Plunge Pool|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Non Smoking Hotel|Spa On Site - Chargeable|Solarium|Squash court|Table Tennis|Tennis Court|Local Tour / Travel Desk|Valet service|Hookah Lounge|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Gardens|Audio - Visual Equipment|Computer Rental|Wedding Services Facility|Dance Performances (on demand)|Catering,0,Kaza,,3,"Room Service |Air Conditioning |Alarm Clock|Balcony / Terrace|Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan|Clothes Dryer|Crockery / Cutlery|Ensuite / Private Bathroom|Hairdryer (on request)|Heating Facility (on request) |Iron / Ironing board available|Tea Coffee Kettle / Maker|Full Kitchen|Kitchenette|Microwave Oven Available |Mini bar - On Charge |Internet Connection In Room|Radio|Refrigerator|Shared Bathroom|Stove / Oven|Telephone|Toaster|Voicemail|Washing machine|Remote Controlled Lights and Fan|Shower Facility Available|Breakfast Available (surcharge)|Newspapers|Reading Lamps|Shower Caps Available|Mineral Water|Premium Beddings / Hypo-Allergenic |Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Window Opens|Makeup / Shaving Mirror|Climate Control|Sofa Cum Bed Available|Slippers|Pinup Boards|Bathtub Only|Primium Bathrooms|Premium Amenities / Toiletries|Shaving Kit /Dental Kit|Moisturiser|Blackout Drapes|Handheld Showers|Safe - In - Room |Pay Movies|Separate Bathtubs And Shower|Clock Radio|Bidet|Fruit Basket|Second Bathrooms|Mirror|Attached Bathroom",Standard room,,Himachal Pradesh
Bharti Hotel,,har ki pauri,Har Ki Pauri,Haridwar,regular,,0,Haridwar,positive reviews::0|critical reviews::1|reviews with images::0,16,Room Service |Ceiling Fan|Telephone|TV|Attached Bathroom,standard room,1,Uttarakhand
Camp Nirvana Guptkashi,,"Jakh Dhar Road, Village Rudrapur, Rudraprayag, Guptkashi, Uttarakhand 246439",Guptkashi,Rudraprayag,regular,Doctor on Call|Parking Facilities Available|Front Desk|Medical Assistance Available|Public Restrooms,0,Rudraprayag,,20,"Room Service |Basic Bathroom Amenities|Telephone| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Makeup / Shaving Mirror|Attached Bathroom",Swiss tent,,Uttarakhand
Bonfire Hostels,Room Service|Restaurant|Free Internet,"Bonfire Hotels Shilpgram Road, Taj Nagri , Agra",Fatehabad Road,Agra,regular,"Bar / Lounge |Barbecue Area|Doctor on Call|Laundry Service Available|Library|Lobby|Parking Facilities Available|Pets Allowed|Front Desk|Multi Cuisine Restaurant |Locker Facility|24 Hour Front Desk|Luggage Storage|Power Backup|Gardens|Separate Sitting Area|Discotheque |Pick Up and Drop (Rly Station, Bus Stand, Temple)|Smoking Area |Open Air Restaurant / Dining |Transfers Available|Express Laundry|Mini Theatre|Amphitheatre|Campfire / Bon Fire|Rooftop Garden|Food Facility|Internet Access Free|Room Service (24 Hours)| Cook Services|Air / Rail Booking|Outdoor Parking - Secured|Parking Facility|Restaurant|Room Service|Fire Safety|Anti-Slip Ramps|CCTV|First-Aid Kit at Front Desk|Porter Services Available|Public Restrooms|Suites",3,Agra,positive reviews::2|critical reviews::0|reviews with images::0,16,Air Conditioning |Ceiling Fan|Newspapers|TV|Attached Bathroom,Super Deluxe,3.5,Uttar Pradesh
Captain's Nest,Room Service,"Jagjith Nagar Road, Near Garkhal, Kasauli",Garkhal,Kasauli,regular,Doctor on Call|Parking Facilities Available|Medical Assistance Available|Power Backup|Outdoor Parking - Secured|Parking Facility|Room Service|Full Time Operation for All 7 Days,1,Kasauli,,3,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan| Hot / Cold Running Water|Housekeeping|Window Opens|Makeup / Shaving Mirror,Suite,,Himachal Pradesh
Chandra Guest House,Room Service|Internet Access,"3/186-A, Vivek Khand",Gomti Nagar,Lucknow,regular,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Power Backup|Wake-up Call / Service|Car Rental|Taxi Services|Newspapers In Lobby|Room Service (24 Hours),0,Lucknow,positive reviews::0|critical reviews::1|reviews with images::1,10,Room Service |Air Conditioning |Basic Bathroom Amenities|Newspapers| Hot / Cold Running Water|Toiletries|TV,Standard A/C Room,2.6,Uttar Pradesh
Carnoustie Ayurveda &amp; Wellness Resort,Room Service,"Mararikulam, Chennaveli, Chethy (P.O.),Alappuzha, Kerala, India 688530.",Others,Alleppey,regular,Doctor on Call|Lobby|Front Desk|Suitable For Children|Veranda|Taxi Services|Newspapers In Lobby|Parking Facility|Room Service|Fire Safety|Anti-Slip Ramps|Fire Exit Signs|First-Aid Kit at Front Desk|Public Restrooms,5,Alleppey,,2,Room Service |Air Conditioning |Alarm Clock|Balcony / Terrace|Basic Bathroom Amenities|Ceiling Fan|Newspapers|Mineral Water|Housekeeping|Window Opens|Makeup / Shaving Mirror|TV|Mirror|Dressing Area|Attached Bathroom|Daily Room Cleaning|Dustbins|Modern Toilet Facilities|Sufficient Lighting|Western Toilet Seat,Akund Villas,,Kerala
Broad Bean Resort &amp; Spa,Room Service|Swimming Pool|Restaurant,"Broad Bean, Chithirapuram Power House, Chithirapuram P.O, Munnar",Chithirapuram,Munnar,regular,Swimming Pool|Banquet Facilities|Barbecue Area|Games Zone|24 Hour Front Desk|Boating|Room Service (24 Hours)|Restaurant|Ayurvedic Facilities,5,Munnar,positive reviews::3|critical reviews::1|reviews with images::2,42,Room Service | Hot / Cold Running Water|Housekeeping|Breakfast Available|HD / LCD Satellite TV |Attached Bathroom,Premium suite,3.5,Kerala
Candolim Bliss Guest House,Internet Access|Restaurant|Free Internet,"Next To CCD, Fort Aguada road,Cammotivaddo",Candolim Area,Goa,regular,"Airport Transfer Available / Surcharge|Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Locker Facility|Local Tour / Travel Desk|Luggage Storage|Pick Up and Drop (Rly Station, Bus Stand, Temple)| Bike on Rent|Car Rental|Taxi Services|Internet Access Free|Newspapers In Lobby|STD / ISD|Parking Facility|Internet Access|Restaurant",0,Goa,positive reviews::4|critical reviews::0|reviews with images::0,5,"Room Service |Air Conditioning |Basic Bathroom Amenities|Breakfast Available (surcharge)|Newspapers| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Attached Bathroom",Standard Room,4.8,Goa
Chandana Herbal Cottages,Restaurant,Marayoor P.O Munnar,Marayoor P.O,Marayoor,regular,Doctor on Call|Dry Cleaning|Laundry Service Available|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Luggage Storage|Medical Assistance Available|Power Backup|Gardens|Campfire / Bon Fire,2,Marayoor,,7,Basic Bathroom Amenities|Cable / Satellite / Pay TV available,Standard Room,,Kerala
Casa Bri Bon,Room Service|Restaurant,"A1-189 Gauravaddo, Calangute, Bardez",Calangute Area,Goa,regular,Doctor on Call|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Locker Facility|Room Service (24 Hours)| Cook Services|STD / ISD|Parking Facility,0,Goa,positive reviews::25|critical reviews::9|reviews with images::2,24,Room Service |Air Conditioning |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Shower Facility Available|Breakfast Available (surcharge)|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Window Opens|Safe - In - Room |Split A.C's|TV|Mirror|Mini Refrigerator|Luggage Rack|Attached Bathroom,Philip Cottage Deluxe Ac,3.7,Goa
Chairmans Resort - Hebbal,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,"14/1,Kodigehalli Main Road,Sahakarnagar, Airport Road Hebbal.",Hebbal,Bangalore,regular,Swimming Pool|Banquet Facilities|Bar / Lounge |Business Center |Doctor on Call|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Major Credit Cards Accepted|24 Hour Front Desk|Sauna|Suitable For Children|Conference Facility |ATM / Banking|Wheelchair Accessibility - Room|Pool Table|Room Service (24 Hours),3,Bangalore,positive reviews::129|critical reviews::15|reviews with images::13,27,Air Conditioning |Cable / Satellite / Pay TV available|Hairdryer (on request)|Iron / Ironing board available|Mini bar - On Charge |Internet Connection In Room|Refrigerator|Telephone|Newspapers|Safe - In - Room |Attached Bathroom,Studio Room,4,Karnataka
Cena Tower,Room Service|Free Internet,"NO. 304/11,304/12, ANNASALAI, PONNAMARAVATHY, PUDUKKOTTAI",ANNASALAI PONNAMARAVATHY,Ponnamaravathi,regular,Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Power Backup|Internet Access Free|Parking Facility|Room Service,1,Ponnamaravathi,,11,,Deluxe Non  A/C,,Tamil Nadu
Bhagat Villa,Room Service,"Nagaon Bandar Road, Nr Beach, Raigad, Alibag, Maharashtra",Alibag,Raigad,regular,Doctor on Call|Lobby|Front Desk|Power Backup|Suitable For Children|Veranda|Taxi Services|Newspapers In Lobby|Parking Facility|Room Service|Fire Safety|Anti-Slip Ramps|Fire Exit Signs|First-Aid Kit at Front Desk|Public Restrooms,0,Raigad,,4,Room Service |Air Conditioning |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Window Opens|Makeup / Shaving Mirror|Shaving Kit /Dental Kit|Moisturiser|TV|Mirror|Attached Bathroom|Do-Not-Disturb Notice|Dustbins|Modern Toilet Facilities|Sufficient Lighting|Western Toilet Seat,Deluxe,,Maharashtra
CENTRAL GUEST HOUSE,Room Service,"28,2nd FLOOR 305,BELLASIS ROAD,S.M.MANSION,MUMBAI CENTRAL,MUMBAI",Mumbai Central,Mumbai,regular,24 Hour Front Desk|Room Service (24 Hours)|Parking Facility,1,Mumbai,,22,,AC Deluxe Room,,Maharashtra
Chokhi Dhani Indore - An Ethnic Village Resort,Room Service|Internet Access|Restaurant,"9 Mile, Khandwa Road,Datodafatha, Indore 9 Mile, Khandwa Road, Datodafatha, Indore",Khandwa Road,Indore,regular,Banquet Facilities|Business Center |Currency Exchange|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|24 Hour Front Desk|Conference Facility |Food Facility|Room Service (24 Hours)|Parking Facility,3,Indore,positive reviews::13|critical reviews::3|reviews with images::2,24,,Royal Cottage,3.9,Madhya Pradesh
Bombay Picnic Spot Hotel &amp; Resort,Room Service,"Chintpurni Road, 3km From Mubarakpur , Himachal Pardesh India",chintpurni,Una,regular,Front Desk|Power Backup|Wake-up Call / Service|Nature Walk|Parking Facility|Room Service|Full Time Operation for All 7 Days,1,Una,,9,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan| Hot / Cold Running Water|Housekeeping|Window Opens|Makeup / Shaving Mirror|Mirror|Attached Bathroom,Deluxe Room,,Himachal Pradesh
Camp Wildex Rishikesh,,Neelkanth Road Uttarakhand,Others,Rishikesh,regular,,1,Rishikesh,,30,Alarm Clock|Basic Bathroom Amenities|Video/ DVD/ CD Player Available|Ceiling Fan|Newspapers|Mineral Water| Hot / Cold Running Water,standard,,Uttarakhand
Bhagirathi Residency,Room Service,"Uttarkashi, Uttaranchal - 249193",Gangotri Highway,Uttarkashi,regular,Doctor on Call|Parking Facilities Available|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Room Service|First-Aid Kit at Front Desk,0,Uttarkashi,,20,Room Service |Basic Bathroom Amenities|Ceiling Fan|Telephone|Mineral Water|Desk in Room|TV|Mirror|Dustbins,Double Bedroom Room,,Uttarakhand
Calangte Salsa Luxury Apartment,Room Service,"Calangute Candolim Beach road 1st floor,Block G3,behind Plantain Leaf Naika - Vaddo,Calangute Bardoz.",Calangute Area,Goa,regular,Doctor on Call|Parking Facilities Available|Front Desk|Luggage Storage|Doorman|Baggage Room|Adjoining Rooms|Outdoor Parking - Secured|Parking Facility|Room Service|First-Aid Kit at Front Desk,0,Goa,,2,"Room Service |Alarm Clock|Basic Bathroom Amenities|Refrigerator|Telephone|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Bathtub Only|TV|Bathrobes|Mirror|Luggage Rack|Attached Bathroom|Bathtub|Daily Room Cleaning|Dustbins|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms",1BHK LUXURY APARTMENT - POOL FACING,,Goa
Bulande Hospitality Yelahanka,Room Service,"Srinivasa Garden, Bagalur Road Bengaluru, near country club yelankha, Bangalore, 560064",,Bangalore,regular,Concierge|Doctor on Call|Dry Cleaning|Lobby|Parking Facilities Available|24 Hour Front Desk|Luggage Storage|Doorman|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Spa Services Nearby|Parking (Surcharge)| Cook Services,0,Bangalore,positive reviews::1|critical reviews::0|reviews with images::0,10,"Room Service |Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Heating Facility (on request) |Telephone|Shower Facility Available|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries",Studio Deluxe,5,Karnataka
CHANDRA PAYING GUEST HOUSE,Room Service,"VPO MANIKARAN, NEAR BUS STAND  175105","VPO Kasol,Manikaran Area",Kasol,regular,Business Center |Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Medical Assistance Available|Nature Walk|Food Facility|Parking Facility|Room Service,0,Kasol,positive reviews::6|critical reviews::2|reviews with images::0,7,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Shower Facility Available|Breakfast Available (surcharge)| Hot / Cold Running Water|Window Opens|Coffee Table|Sofa Table / Extra Seats |TV|Mirror|Bedside Table|Daily Room Cleaning|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sufficient Lighting|Western Toilet Seat,Standard Room,3.4,Himachal Pradesh
Bhau Cottages,,"Palolem beach, Cancona Goa",Palolem Beach Area,Goa,regular,,0,Goa,,3,Air Conditioning |Attached Bathroom,AC Room,,Goa
Brij Lodge,Room Service|Internet Access|Free Internet,Har Ki pauri,Har Ki Pauri,Haridwar,regular,Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Medical Assistance Available|Power Backup|Wake-up Call / Service|ATM / Banking|Safari|Smoking Area |Extra Person / Child - Share the same room|Meditation Room|Food Facility|Internet Access Free|Yoga Hall / Classes|Parking (Surcharge)|Air / Rail Booking|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Room Service|Recreation Zone,2,Haridwar,positive reviews::66|critical reviews::12|reviews with images::21,16,"Room Service |Air Conditioning |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Iron / Ironing board available|Tea Coffee Kettle / Maker|Newspapers|Reading Lamps|Mineral Water| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Premium Amenities / Toiletries|Handheld Showers|Pillow menu|TV|Mirror|Luggage Rack|Attached Bathroom",Superior Room,4,Uttarakhand
Check In Check Out,Room Service|Internet Access|Gym/Spa|Restaurant,"Alipore Hub, 14 A Burdwan Road, Alipore",South Kolkata,Kolkata,regular,Airport Transfer Available / Surcharge|Beauty Salon - on charge|Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Front Desk|Multi Cuisine Restaurant |Locker Facility|Spa On Site - Chargeable|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Air-Conditioning - Central|Power Backup|Wedding Services Facility|Wake-up Call / Service|Fitness Equipment|Porter / Bellhop|Suitable For Children|Separate Sitting Area|Smoking Rooms|Fax Machine|Kitchen available (home cook food on request)|Massage Services |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Express Laundry|Water Dispenser Available|Taxi Services|Food Facility|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Spa Services Nearby|STD / ISD|Baggage Room|Internet / Fax (Reception area only)|RO Water Purification System|Parking Facility,3,Kolkata,positive reviews::116|critical reviews::20|reviews with images::14,35,Room Service |Air Conditioning |Alarm Clock|Balcony / Terrace|Cable / Satellite / Pay TV available|HD / LCD Satellite TV |TV|Mirror|Attached Bathroom,Single Room,3.9,West Bengal
COCOON VILLA,Room Service,Cocoon Villa Kamukinkuzhy Lane Kovalam  Trivandrum 695527,Kovalam po,Thiruvananthapuram,regular,Doctor on Call|Dry Cleaning|Medical Assistance Available|Family Room|Parking Facility|Room Service,3,Thiruvananthapuram,,4,Room Service |Alarm Clock|Basic Bathroom Amenities|Ceiling Fan|Crockery / Cutlery|Telephone|Newspapers|Mineral Water|Housekeeping|Desk in Room|Toiletries,Double Room,,Kerala
Daiwik Home Stay,Room Service,Near FMC college,Others,Coorg,regular,Doctor on Call|Laundry Service Available|Parking Facilities Available|Locker Facility|Welcome Drinks|Power Backup|Food Facility|Newspapers In Lobby|Children's Park|Parking Facility|Room Service,0,Coorg,positive reviews::10|critical reviews::0|reviews with images::2,4,Room Service |Cable / Satellite / Pay TV available|Clothes Dryer|Newspapers|Mineral Water|Housekeeping|Breakfast Available|Makeup / Shaving Mirror|Hill View from all Rooms|HD / LCD Satellite TV |Room Heater|Mirror,Standard Non AC,4.8,Karnataka
Cormfort Stay - Royal Palm - Goregaon (East),Free Internet,"Royal Palms Goregaon (East), Mumbai",Goregaon,Mumbai,regular,Doctor on Call|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Local Tour / Travel Desk|Medical Assistance Available|Open Air Restaurant / Dining,0,Mumbai,positive reviews::2|critical reviews::4|reviews with images::0,2,"Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries",Service Apartment.,2.4,Maharashtra
Daffodils Inn Green Wood City,Room Service,"A12/A,Green Wood City,Sector-45,Gurgaon",sector 45,Gurgaon,regular,Doctor on Call|Front Desk|Parking Facility|Room Service|Public Restrooms,0,Gurgaon,positive reviews::1|critical reviews::0|reviews with images::0,8,Room Service |Housekeeping|Mirror|Daily Room Cleaning|Dustbins,Deluxe Room,5,Haryana
DARSHAN LODGE,,"Sri Ganapathi Arcade F.M.C. Road, Near Clock Tower.Virajpet, South Kodagu 571218.",Virajpet,Coorg,regular,Doctor on Call|Laundry Service Available|Parking Facilities Available|Doorman|Newspapers In Lobby,0,Coorg,,10,Room Service |Air Conditioning |Alarm Clock|Basic Bathroom Amenities|Ceiling Fan,3 BED,,Karnataka
City Look Hotel,Room Service|Internet Access|Free Internet,"Sai Road, Opposite Vishal Mega Mart Village Gullarwala",Sai Raod,Baddi,regular,Doctor on Call|Dry Cleaning|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Luggage Storage|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility|Internet Access|Room Service|Fire Safety|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Public Restrooms,1,Baddi,,21,"Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone|Newspapers|Reading Lamps|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|TV|Mirror|Luggage Rack|Attached Bathroom|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins",Deluxe Room,,Himachal Pradesh
Dev Shelters,Room Service|Internet Access|Free Internet,"Opp to Orlem Church, Orlem Link Road, Malad west",Malad,Mumbai,regular,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Grocery|Floor Butler|Taxi Services|Newspapers In Lobby|Room Service (24 Hours)| Cook Services|Outdoor Parking - Secured|Parking Facility|Internet Access|Security at All Hotel Entrances,3,Mumbai,positive reviews::29|critical reviews::9|reviews with images::8,5,Air Conditioning |Closet,AC Deluxe Room,3.8,Maharashtra
